What it’s about,What to check,Your rating question (0–5),BullsEye machine (what the papers say),Aimed machine (what the papers say),GE machine (what the papers say)
X‑ray amount,Auto control to lower X‑ray,Does it auto‑control X‑ray to keep dose low?,Auto X‑ray control: yes.,Auto X‑ray control: yes.,Auto X‑ray control: yes.
X‑ray amount,X‑ray settings range,Are the X‑ray settings enough for many exams?,Wide X‑ray settings for many exams.,"60 to 100 kilowatts, 220 to 240 volts",Wide X‑ray settings for many exams.
X‑ray amount,Can it record X‑ray dose,Can it record the X‑ray dose for patients?,Supports Saves and shares to hospital computers: yes.,Supports Saves and shares to hospital computers: yes.,Supports Saves and shares to hospital computers: yes.
X‑ray amount,Kid‑friendly / low‑dose modes,Does it have low‑dose modes for kids?,Kid‑friendly low‑dose: yes.,Kid‑friendly low‑dose: yes.,Kid‑friendly low‑dose: yes.
Speed,Time to see the picture,How fast does the first picture show up?,First picture in ~1 second.,First/next picture in ~3–5 seconds.,1 to 2 seconds
Speed,Time until next picture,How fast until it’s ready for the next picture?,Ready for next in ~3.6 seconds.,First/next picture in ~3–5 seconds.,Ready for next in ~2–3 seconds.
Speed,How many patients it can handle,Can it handle a busy day?,Handles about 50–100 patients/day.,Handles over 100 patients/day.,Approximately About 40 pictures/hour.
Speed,How it sends and saves pictures,Will it send and save pictures reliably?,Wireless; can store ~100 pictures.,Cable connection; with small picture archive (4 users).,Wireless detector; built‑in memory.
Easy to use,Buttons and screen,Is the screen and buttons easy to use?,Easy screen and buttons.,Touchscreen acquisition console,GE acquisition console with user-friendly interface
Easy to use,Auto fixes for pictures,Does it auto‑fix pictures to save time?,Auto fix pictures.,Automatic processing and grid removal,Automatic positioning and image stitching
Easy to use,Table and stand to position patients,Is it easy to position patients?,Easy‑to‑move table.,Floor-mounted system,Floor-mounted system
Works with computers,Works with hospital computers,Will it work with our hospital computers?,Fully Saves and shares to hospital computers: yes.,Fully Saves and shares to hospital computers: yes.,Fully Saves and shares to hospital computers: yes.
Fits in our room,Room space needed,Will it fit our room?,Needs room at least 3.5×4 m.,Needs room about 4×5 m.,Needs room about 4×5 m.
Fits in our room,Electricity needed,Can we plug it into our power?,Uses normal clinic power (220–240 V).,Works with 220–240 V (single or three‑phase).,Works with 220 V power.
Fits in our room,Help with government papers,Will they help with government papers?,Helps with some government papers.,Helps with all government papers.,Helps a little with papers (testing only).
Training,Training for staff,Will they train our staff well?,Training included.,Training 1–2 days; remote help too.,On-site training included
Check‑ups & fixing,Regular check‑ups,Do they promise regular check‑ups?,Regular check‑ups: 2×/year.,Regular check‑ups: 2–3×/year.,Regular check‑ups: 2×/year.
Check‑ups & fixing,How fast they help,"If it breaks, how fast will they help?",Help fast: hotline; same‑day call back.,Remote support within Help remote in 1–2 days; onsite in 2–14 days.,Phone support within 4 hours; onsite within 24 hours
Check‑ups & fixing,How long it stays broken,"If broken, how long until it works?",Fix time: depends on problem.,Fix time: same day (software) up to 30 days (parts).,1 day if no parts needed; Fix time: 3–5 days if parts needed.
Check‑ups & fixing,Spare while fixing,Will they lend a spare while fixing?,No info given.,Spare machine 7–14 days (if available).,No info given.
Warranty & parts,Warranty time,How long is the free‑fix warranty?,Warranty: 2 years.,Warranty: 1 year.,Warranty: 3 years.
Warranty & parts,How easy to get parts,Are parts easy to get?,Parts nearby: yes.,Major parts Big parts may take 30–60 days.,Some parts local; others shipped in.
Warranty & parts,How much parts may cost,Are parts expensive?,Cost varies by part,Quoted on request,Parts can be pricey (₱100k–₱500k).
Safety & toughness,How tough it is,Is it tough for busy use?,Okay with water splashes; drop‑tested.,Standard design housing,Medical‑grade body; decent protection.
Safety & toughness,Help with government papers,Will they help with government papers?,Assistance only with FDA testing,Full assistance with all government licensing,Assistance only with FDA testing
Matches our exams,Fits our usual exams,Does it match our common exams?,Good for general X‑rays; also ER/ICU.,General X-rays,"Good for chest, trauma, and general X‑rays."
Upgrades later,Upgrades later,Can we upgrade it later?,Voyance software updates available,Small picture archive (4 users) included.,Upgradable software and detector firmware
What’s included,What’s included in the price,Do they include delivery and training?,"Price includes delivery, installation, and training","Includes freight, installation, and training","Includes delivery, install, training."
